"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"My Cart","My Shopping Bag"
"My Cart (%s item)","My Shopping Bag (%s item)"
"My Cart (%s items)","My Shopping Bag (%s items)"
"My Cart Extra Actions","My Shopping Bag Extra Actions"
"My Cart Link","My Shopping Bag Link"
